Missed Bytes: 0, First Time: 4.18300199508667, Final Time: 4.18300199508667, RSSI Avg: -59.26262626262626, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 64, First Time: 4.269127130508423, Final Time: 34.394752740859985, RSSI Avg: -59.36, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.939681053161621, Final Time: 3.939681053161621, RSSI Avg: -61.1505376344086, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 2.589596748352051, Final Time: 2.589596748352051, RSSI Avg: -66.06557377049181, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.269683122634888, Final Time: 4.271187782287598, RSSI Avg: -61.1, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9330132007598877, Final Time: 3.9340343475341797, RSSI Avg: -62.774193548387096, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 2.588818311691284, Final Time: 2.5891263484954834, RSSI Avg: -63.049180327868854, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 5.631996154785156, Final Time: 5.63246488571167, RSSI Avg: -58.142857142857146, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 64, First Time: 4.193028211593628, Final Time: 34.325000286102295, RSSI Avg: -61.707070707070706, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 5.664238691329956, Final Time: 5.664238691329956, RSSI Avg: -56.1578947368421, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.190899610519409, Final Time: 4.190899610519409, RSSI Avg: -58.474747474747474, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.584331512451172, Final Time: 2.584331512451172, RSSI Avg: -65.73770491803279, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.247914552688599, Final Time: 4.247914552688599, RSSI Avg: -58.89, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.939770221710205, Final Time: 3.9517765045166016, RSSI Avg: -60.053763440860216, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.653075695037842, Final Time: 5.653075695037842, RSSI Avg: -56.34586466165413, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.1917712688446045, Final Time: 4.1917712688446045, RSSI Avg: -59.15151515151515, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5906360149383545, Final Time: 2.5906360149383545, RSSI Avg: -67.62295081967213, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.211696624755859, Final Time: 4.211696624755859, RSSI Avg: -60.19, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.919025182723999, Final Time: 3.919025182723999, RSSI Avg: -60.516129032258064, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.6577887535095215, Final Time: 5.669825792312622, RSSI Avg: -55.857142857142854, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.188729524612427, Final Time: 4.188729524612427, RSSI Avg: -59.27272727272727, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.564115524291992, Final Time: 2.564115524291992, RSSI Avg: -66.14754098360656, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.242313385009766, Final Time: 4.243325233459473, RSSI Avg: -59.05, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.938538074493408, Final Time: 3.938538074493408, RSSI Avg: -60.61290322580645, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
